,res_type,state_ab,zip_code,median
3023,pizza,CA,90805.0,52217.0
3025,pizza,CA,90712.0,99591.0
3049,pizza,CA,90755.0,36506.0
3078,pizza,CA,90815.0,63316.0
3082,pizza,CA,90810.0,94556.0
3084,pizza,CA,90806.0,37827.0
3085,pizza,CA,90806.0,37827.0
3096,pizza,CA,90806.0,37827.0
3097,pizza,CA,90813.0,24828.0
3113,pizza,CA,90802.0,28386.0
3144,pizza,CA,90814.0,47193.0
3153,pizza,CA,91732.0,57351.0
3163,pizza,CA,91776.0,47607.0
3186,pizza,CA,91107.0,24459.0
3187,pizza,CA,91732.0,57351.0
3219,pizza,OH,43950.0,46690.0
3220,pizza,CA,91101.0,43316.0
3231,pizza,CA,91106.0,35231.0
3233,pizza,CA,90034.0,300000.0
3248,pizza,CA,91106.0,35231.0
3250,pizza,CA,91001.0,300000.0
3259,pizza,CA,91104.0,300000.0
3261,pizza,CA,91107.0,24459.0
3274,pizza,CA,91104.0,300000.0
3275,pizza,CA,91776.0,47607.0
3276,pizza,CA,91001.0,300000.0
3307,pizza,CA,91030.0,55405.0
3312,pizza,CA,91007.0,52547.0
3344,pizza,CA,91776.0,47607.0
3371,pizza,CA,91203.0,34908.0
3383,pizza,CA,91502.0,35793.0
3389,pizza,CA,90041.0,59408.0
3391,pizza,CA,91502.0,35793.0
3392,pizza,CA,91502.0,35793.0
3407,pizza,CA,91205.0,39268.0
3412,pizza,CA,91201.0,70374.0
3418,pizza,CA,90041.0,59408.0
3431,pizza,CA,91204.0,55120.0
3432,pizza,CA,91203.0,34908.0
3433,pizza,CA,90027.0,64881.0
3441,pizza,CA,91208.0,300000.0
3445,pizza,CA,90029.0,28797.0
3446,pizza,CA,91202.0,113952.0
3453,pizza,CA,91502.0,35793.0
3456,pizza,CA,91204.0,55120.0
3463,pizza,CA,90065.0,300000.0
3467,pizza,CA,90041.0,59408.0
3479,pizza,CA,91364.0,44205.0
3483,pizza,CA,91364.0,44205.0
3485,pizza,CA,91307.0,89857.0
3487,pizza,CA,91304.0,41995.0
3490,pizza,CA,91335.0,59693.0
3492,pizza,CA,91335.0,59693.0
3497,pizza,CA,91306.0,300000.0
3501,pizza,CA,91303.0,88567.0
3505,pizza,CA,91306.0,300000.0
3524,pizza,CA,91335.0,59693.0
3525,pizza,CA,91356.0,44404.0
3542,pizza,CA,91325.0,61041.0
3546,pizza,CA,91303.0,88567.0
3556,pizza,CA,91344.0,300000.0
3557,pizza,CA,91326.0,300000.0
3564,pizza,CA,91311.0,90602.0
3565,pizza,CA,91311.0,90602.0
3566,pizza,CA,91311.0,90602.0
3570,pizza,CA,91306.0,300000.0
3572,pizza,CA,91324.0,44427.0
3575,pizza,CA,91335.0,59693.0
3577,pizza,CA,91311.0,90602.0
3585,pizza,CA,91344.0,300000.0
3601,pizza,CA,91406.0,39263.0
3604,pizza,CA,91406.0,39263.0
3606,pizza,CA,91344.0,300000.0
3608,pizza,CA,91324.0,44427.0
3614,pizza,CA,91335.0,59693.0
3617,pizza,CA,91324.0,44427.0
3624,pizza,CA,91325.0,61041.0
3629,pizza,CA,91324.0,44427.0
3634,pizza,CA,91356.0,44404.0
3639,pizza,CA,91405.0,37333.0
3641,pizza,CA,91340.0,66670.0
3650,pizza,CA,91405.0,37333.0
3683,pizza,CA,91405.0,37333.0
3686,pizza,CA,91411.0,22542.0
3702,pizza,CA,91604.0,300000.0
3703,pizza,CA,91606.0,41169.0
3728,pizza,CA,91343.0,85144.0
3729,pizza,CA,91403.0,63169.0
3730,pizza,CA,91403.0,63169.0
3732,pizza,CA,91325.0,61041.0
3738,pizza,CA,91335.0,59693.0
3746,pizza,CA,91343.0,85144.0
3756,pizza,CA,91316.0,300000.0
3762,pizza,CA,91606.0,41169.0
3778,pizza,CA,91601.0,40557.0
3781,pizza,CA,91601.0,40557.0
3788,pizza,CA,91602.0,76209.0
3789,pizza,CA,91601.0,40557.0
3791,pizza,CA,91506.0,300000.0
3794,pizza,CA,91352.0,76038.0
3796,pizza,CA,91601.0,40557.0
3804,pizza,CA,91505.0,300000.0
3808,pizza,CA,91602.0,76209.0
3817,pizza,CA,91606.0,41169.0
3843,pizza,CA,91401.0,54369.0
3845,pizza,CA,91605.0,26032.0
3864,pizza,CA,91741.0,300000.0
3870,pizza,CA,91724.0,62609.0
3873,pizza,CA,91740.0,300000.0
3877,pizza,CA,91790.0,300000.0
3880,pizza,CA,91702.0,76099.0
3890,pizza,CA,91764.0,44939.0
3919,pizza,CA,90640.0,49628.0
3938,pizza,CA,91803.0,58614.0
3948,pizza,CA,92104.0,54831.0
3952,pizza,CA,92104.0,54831.0
3957,pizza,CA,92110.0,122111.0
3991,pizza,CA,92104.0,54831.0
4007,pizza,CA,92102.0,30825.0
4011,pizza,CA,92111.0,36188.0
4075,pizza,CA,93291.0,25640.0
4117,pizza,CA,93277.0,87021.0
4322,pizza,CA,93433.0,300000.0
4329,pizza,CA,93420.0,63124.0
4389,pizza,CA,93534.0,56932.0
4395,pizza,CA,93534.0,56932.0
4400,pizza,CA,93536.0,57343.0
4406,pizza,CA,93536.0,57343.0
4411,pizza,CA,93535.0,38578.0
4435,pizza,CA,93710.0,30873.0
4453,pizza,CA,93612.0,46353.0
4509,pizza,CA,93726.0,46592.0
4517,pizza,CA,93702.0,24284.0
4526,pizza,CA,93726.0,46592.0
4544,pizza,CA,93706.0,18241.0
4592,pizza,CA,93722.0,53793.0
4616,pizza,CA,93720.0,43176.0
4640,pizza,CA,93710.0,30873.0
4644,pizza,CA,93720.0,43176.0
4669,pizza,CA,94015.0,300000.0
4672,pizza,CA,94080.0,96033.0
4703,pizza,CA,94112.0,83574.0
4737,pizza,CA,95051.0,108998.0
4750,pizza,CA,94085.0,115034.0
4769,pizza,CA,94123.0,110331.0
4774,pizza,CA,94133.0,82929.0
4777,pizza,CA,94103.0,17195.0
4780,pizza,CA,94103.0,17195.0
4782,pizza,CA,94102.0,21830.0
4818,pizza,CA,94117.0,300000.0
4848,pizza,CA,94103.0,17195.0
4849,pizza,CA,94117.0,300000.0
4858,pizza,CA,94109.0,105824.0
4867,pizza,CA,94109.0,105824.0
4897,pizza,CA,94103.0,17195.0
4924,pizza,CA,94109.0,105824.0
4951,pizza,CA,94122.0,109102.0
4958,pizza,CA,94014.0,74953.0
4966,pizza,CA,94122.0,109102.0
4996,pizza,CA,94121.0,131522.0
5006,pizza,CA,94122.0,109102.0
5007,pizza,CA,94116.0,60686.0
5043,pizza,CA,94114.0,300000.0
5049,pizza,CA,94118.0,63551.0
5052,pizza,CA,94121.0,131522.0
5070,pizza,CA,94122.0,109102.0
5112,pizza,CA,94131.0,94516.0
5117,pizza,CA,94117.0,300000.0
5132,pizza,CA,94122.0,109102.0
5137,pizza,CA,94122.0,109102.0
5147,pizza,CA,94127.0,300000.0
5150,pizza,CA,94124.0,92794.0
5174,pizza,CA,94110.0,38568.0
5184,pizza,CA,94110.0,38568.0
5191,pizza,CA,94601.0,40160.0
5221,pizza,CA,94501.0,43007.0
5278,pizza,CA,94709.0,35427.0
5297,pizza,CA,94601.0,40160.0
5310,pizza,CA,94601.0,40160.0
5351,pizza,VA,20109.0,50724.0
5353,pizza,VA,20109.0,50724.0
5354,pizza,VA,20109.0,50724.0
5370,pizza,VA,20110.0,72878.0
5387,pizza,VA,20110.0,72878.0
5395,pizza,VA,20110.0,72878.0
5398,pizza,VA,20110.0,72878.0
5399,pizza,VA,20111.0,86659.0
5426,pizza,VA,20151.0,300000.0
5453,pizza,VA,20121.0,106122.0
5454,pizza,VA,20121.0,106122.0
5459,pizza,VA,20132.0,300000.0
5462,pizza,VA,20136.0,134710.0
5474,pizza,VA,20147.0,119556.0
5481,pizza,VA,20147.0,119556.0
5492,pizza,VA,20147.0,119556.0
5507,pizza,VA,20147.0,119556.0
5512,pizza,VA,20147.0,119556.0
5527,pizza,VA,20147.0,119556.0
5536,pizza,VA,20151.0,300000.0
5556,pizza,VA,20152.0,52723.0
5567,pizza,VA,20155.0,105372.0
5585,pizza,VA,20155.0,105372.0
