,res_type,state_ab,zip_code,median
692,hotdogs,CA,90025.0,97041.0
694,hotdogs,CA,90034.0,300000.0
697,hotdogs,CA,90230.0,300000.0
707,hotdogs,CA,91335.0,59693.0
726,hotdogs,CA,90036.0,300000.0
733,hotdogs,CA,90046.0,46897.0
744,hotdogs,CA,90037.0,24958.0
745,hotdogs,CA,90047.0,26090.0
747,hotdogs,CA,90062.0,38509.0
762,hotdogs,CA,90041.0,59408.0
763,hotdogs,CA,91205.0,39268.0
765,hotdogs,CA,90041.0,59408.0
772,hotdogs,CA,91204.0,55120.0
776,hotdogs,CA,91205.0,39268.0
785,hotdogs,CA,90041.0,59408.0
786,hotdogs,CA,90041.0,59408.0
790,hotdogs,CA,90042.0,49009.0
796,hotdogs,CA,91208.0,300000.0
806,hotdogs,CA,93536.0,57343.0
808,hotdogs,CA,90041.0,59408.0
816,hotdogs,CA,91206.0,300000.0
838,hotdogs,CA,90301.0,32736.0
841,hotdogs,CA,90301.0,32736.0
842,hotdogs,CA,90302.0,32606.0
850,hotdogs,CA,90304.0,36108.0
859,hotdogs,CA,90043.0,31219.0
863,hotdogs,CA,90043.0,31219.0
866,hotdogs,CA,90061.0,44268.0
868,hotdogs,CA,90047.0,26090.0
874,hotdogs,CA,90061.0,44268.0
875,hotdogs,CA,90249.0,52730.0
878,hotdogs,CA,90061.0,44268.0
881,hotdogs,CA,90303.0,80697.0
888,hotdogs,CA,90303.0,80697.0
889,hotdogs,CA,90303.0,80697.0
890,hotdogs,CA,90303.0,80697.0
892,hotdogs,CA,90045.0,107969.0
901,hotdogs,CA,90292.0,94781.0
905,hotdogs,CA,90292.0,94781.0
919,hotdogs,CA,90301.0,32736.0
925,hotdogs,CA,90304.0,36108.0
930,hotdogs,CA,90230.0,300000.0
934,hotdogs,CA,90048.0,62610.0
944,hotdogs,CA,90028.0,83180.0
957,hotdogs,CA,90046.0,46897.0
964,hotdogs,CA,90305.0,34421.0
966,hotdogs,CA,90303.0,80697.0
967,hotdogs,CA,90043.0,31219.0
971,hotdogs,CA,90303.0,80697.0
976,hotdogs,CA,90301.0,32736.0
