,res_type,state_ab,zip_code,median
830,burgers,CA,90032.0,38818.0
834,burgers,CA,91030.0,55405.0
835,burgers,CA,90032.0,38818.0
840,burgers,CA,90043.0,31219.0
848,burgers,CA,90008.0,70607.0
849,burgers,CA,90302.0,32606.0
853,burgers,CA,90037.0,24958.0
855,burgers,CA,90045.0,107969.0
856,burgers,CA,90301.0,32736.0
858,burgers,CA,90304.0,36108.0
861,burgers,CA,90043.0,31219.0
864,burgers,CA,90047.0,26090.0
872,burgers,CA,90303.0,80697.0
876,burgers,CA,90303.0,80697.0
880,burgers,CA,90044.0,27101.0
883,burgers,CA,90047.0,26090.0
887,burgers,CA,90303.0,80697.0
891,burgers,CA,90245.0,86968.0
896,burgers,CA,90045.0,107969.0
898,burgers,CA,90292.0,94781.0
899,burgers,CA,90245.0,86968.0
917,burgers,CA,90045.0,107969.0
938,burgers,CA,91604.0,300000.0
951,burgers,CA,91604.0,300000.0
974,burgers,CA,90250.0,40862.0
983,burgers,CA,90210.0,208338.0
986,burgers,CA,90048.0,62610.0
1030,burgers,CA,90025.0,97041.0
1048,burgers,CA,90230.0,300000.0
1055,burgers,CA,90302.0,32606.0
1056,burgers,CA,90302.0,32606.0
1066,burgers,CA,90023.0,19354.0
1069,burgers,CA,90255.0,27107.0
1071,burgers,CA,90201.0,56738.0
1086,burgers,CA,90201.0,56738.0
1093,burgers,CA,90262.0,41431.0
1096,burgers,CA,90262.0,41431.0
1114,burgers,CA,90262.0,41431.0
1126,burgers,CA,90280.0,42954.0
1127,burgers,CA,90262.0,41431.0
1141,burgers,CA,90249.0,52730.0
1147,burgers,CA,90248.0,300000.0
1150,burgers,CA,90247.0,35604.0
1151,burgers,CA,90062.0,38509.0
1159,burgers,CA,90305.0,34421.0
1171,burgers,CA,91754.0,60854.0
1177,burgers,CA,90064.0,300000.0
1182,burgers,CA,90034.0,300000.0
1192,burgers,CA,90041.0,59408.0
1196,burgers,CA,90034.0,300000.0
1200,burgers,CA,90291.0,117987.0
1213,burgers,CA,90405.0,46977.0
1235,burgers,CA,90028.0,83180.0
1236,burgers,CA,91601.0,40557.0
1241,burgers,CA,90029.0,28797.0
1265,burgers,CA,90292.0,94781.0
1270,burgers,CA,90301.0,32736.0
1274,burgers,CA,90201.0,56738.0
1285,burgers,CA,90201.0,56738.0
1287,burgers,CA,90201.0,56738.0
1288,burgers,CA,90201.0,56738.0
