,res_type,state_ab,zip_code,median
1951,delis/diners,CA,90301.0,32736.0
1959,delis/diners,CA,90301.0,32736.0
1990,delis/diners,CA,90403.0,156861.0
2053,delis/diners,CA,90505.0,300000.0
2078,delis/diners,CA,90502.0,63800.0
2106,delis/diners,CA,90503.0,300000.0
2114,delis/diners,CA,90503.0,300000.0
2121,delis/diners,CA,90503.0,300000.0
2134,delis/diners,CA,90505.0,300000.0
2137,delis/diners,CA,90717.0,140323.0
2156,delis/diners,CA,90505.0,300000.0
2158,delis/diners,CA,90606.0,58849.0
2159,delis/diners,CA,90602.0,48157.0
2163,delis/diners,CA,90602.0,48157.0
2176,delis/diners,CA,90601.0,78658.0
2183,delis/diners,CA,90601.0,78658.0
2190,delis/diners,CA,90605.0,300000.0
2206,delis/diners,CA,90638.0,96936.0
2208,delis/diners,CA,90605.0,300000.0
2209,delis/diners,CA,90638.0,96936.0
2215,delis/diners,CA,90606.0,58849.0
2220,delis/diners,CA,90602.0,48157.0
2223,delis/diners,CA,90604.0,62108.0
2225,delis/diners,CA,90631.0,72539.0
2264,delis/diners,CA,90660.0,73063.0
2265,delis/diners,CA,90640.0,49628.0
2272,delis/diners,CA,90640.0,49628.0
2296,delis/diners,CA,90620.0,73636.0
2320,delis/diners,CA,90630.0,300000.0
2360,delis/diners,CA,90621.0,52358.0
2368,delis/diners,CA,90620.0,73636.0
2379,delis/diners,CA,90630.0,300000.0
2391,delis/diners,CA,90740.0,65316.0
2395,delis/diners,CA,90720.0,43461.0
2400,delis/diners,CA,90630.0,300000.0
2405,delis/diners,CA,92845.0,300000.0
2408,delis/diners,CA,90630.0,300000.0
2412,delis/diners,CA,90631.0,72539.0
2416,delis/diners,CA,90631.0,72539.0
2419,delis/diners,CA,90631.0,72539.0
2421,delis/diners,CA,90631.0,72539.0
2423,delis/diners,CA,90631.0,72539.0
2424,delis/diners,CA,92821.0,64980.0
2425,delis/diners,CA,90638.0,96936.0
2426,delis/diners,CA,92835.0,300000.0
2435,delis/diners,NY,11222.0,63790.0
2449,delis/diners,CA,90631.0,72539.0
2453,delis/diners,CA,92833.0,300000.0
2468,delis/diners,CA,92833.0,300000.0
2472,delis/diners,CA,90631.0,72539.0
2476,delis/diners,CA,90631.0,72539.0
2503,delis/diners,CA,90640.0,49628.0
2506,delis/diners,CA,90701.0,61821.0
2519,delis/diners,CA,90703.0,96089.0
2531,delis/diners,CA,90650.0,300000.0
2577,delis/diners,CA,90650.0,300000.0
2585,delis/diners,CA,92683.0,43211.0
2587,delis/diners,CA,92804.0,300000.0
2609,delis/diners,CA,92843.0,36354.0
2611,delis/diners,CA,90680.0,47046.0
2672,delis/diners,CA,90712.0,99591.0
2677,delis/diners,CA,90706.0,300000.0
2695,delis/diners,CA,90505.0,300000.0
2725,delis/diners,CA,90806.0,37827.0
2735,delis/diners,CA,90712.0,99591.0
2736,delis/diners,CA,90712.0,99591.0
2737,delis/diners,CA,90713.0,75940.0
2750,delis/diners,CA,90712.0,99591.0
2765,delis/diners,CA,90712.0,99591.0
2768,delis/diners,CA,90713.0,75940.0
2786,delis/diners,CA,90703.0,96089.0
2797,delis/diners,CA,90717.0,140323.0
2811,delis/diners,CA,90720.0,43461.0
2812,delis/diners,CA,90740.0,65316.0
2814,delis/diners,CA,90740.0,65316.0
2824,delis/diners,CA,90720.0,43461.0
2825,delis/diners,CA,90630.0,300000.0
2829,delis/diners,CA,92845.0,300000.0
2831,delis/diners,CA,90716.0,96094.0
2832,delis/diners,CA,90630.0,300000.0
2833,delis/diners,CA,90620.0,73636.0
2834,delis/diners,CA,92683.0,43211.0
2845,delis/diners,CA,90706.0,300000.0
2862,delis/diners,CA,90745.0,57020.0
2869,delis/diners,CA,90220.0,43250.0
2870,delis/diners,CA,90501.0,63008.0
2877,delis/diners,CA,90746.0,48895.0
2878,delis/diners,CA,90745.0,57020.0
2882,delis/diners,CA,90745.0,57020.0
2883,delis/diners,CA,90746.0,48895.0
2886,delis/diners,CA,90746.0,48895.0
2890,delis/diners,CA,90745.0,57020.0
2898,delis/diners,CA,90220.0,43250.0
2933,delis/diners,CA,90806.0,37827.0
2950,delis/diners,CA,90815.0,63316.0
2951,delis/diners,CA,90815.0,63316.0
2958,delis/diners,CA,90815.0,63316.0
2961,delis/diners,CA,90803.0,104705.0
2968,delis/diners,CA,90740.0,65316.0
2969,delis/diners,CA,90814.0,47193.0
2973,delis/diners,CA,90803.0,104705.0
2974,delis/diners,CA,90804.0,39139.0
2975,delis/diners,CA,90806.0,37827.0
2976,delis/diners,CA,90815.0,63316.0
2978,delis/diners,CA,90755.0,36506.0
2980,delis/diners,CA,90815.0,63316.0
2981,delis/diners,CA,90806.0,37827.0
2984,delis/diners,CA,90755.0,36506.0
2985,delis/diners,CA,90815.0,63316.0
3002,delis/diners,CA,90815.0,63316.0
3009,delis/diners,CA,90815.0,63316.0
3029,delis/diners,CA,90805.0,52217.0
3032,delis/diners,CA,90805.0,52217.0
3038,delis/diners,CA,90802.0,28386.0
3057,delis/diners,CA,90815.0,63316.0
3060,delis/diners,CA,90802.0,28386.0
3066,delis/diners,CA,90712.0,99591.0
