,res_type,state_ab,zip_code,median
742,mex/tex-mex,CA,90037.0,24958.0
748,mex/tex-mex,CA,90007.0,38672.0
751,mex/tex-mex,CA,90037.0,24958.0
755,mex/tex-mex,CA,90028.0,83180.0
756,mex/tex-mex,CA,90038.0,47458.0
766,mex/tex-mex,CA,91205.0,39268.0
768,mex/tex-mex,CA,90039.0,300000.0
770,mex/tex-mex,CA,90041.0,59408.0
773,mex/tex-mex,CA,91205.0,39268.0
775,mex/tex-mex,CA,91205.0,39268.0
778,mex/tex-mex,CA,90041.0,59408.0
779,mex/tex-mex,CA,90065.0,300000.0
781,mex/tex-mex,CA,90039.0,300000.0
791,mex/tex-mex,CA,90041.0,59408.0
792,mex/tex-mex,CA,90041.0,59408.0
794,mex/tex-mex,CA,90041.0,59408.0
803,mex/tex-mex,CA,90042.0,49009.0
807,mex/tex-mex,CA,90065.0,300000.0
809,mex/tex-mex,CA,90042.0,49009.0
810,mex/tex-mex,CA,90042.0,49009.0
812,mex/tex-mex,CA,91030.0,55405.0
814,mex/tex-mex,CA,90042.0,49009.0
815,mex/tex-mex,CA,90041.0,59408.0
817,mex/tex-mex,CA,90042.0,49009.0
819,mex/tex-mex,CA,90042.0,49009.0
826,mex/tex-mex,CA,90041.0,59408.0
839,mex/tex-mex,CA,90047.0,26090.0
854,mex/tex-mex,CA,90008.0,70607.0
862,mex/tex-mex,CA,90008.0,70607.0
867,mex/tex-mex,CA,90047.0,26090.0
870,mex/tex-mex,CA,90043.0,31219.0
873,mex/tex-mex,CA,90303.0,80697.0
882,mex/tex-mex,CA,90061.0,44268.0
886,mex/tex-mex,CA,90303.0,80697.0
893,mex/tex-mex,CA,90045.0,107969.0
894,mex/tex-mex,CA,90301.0,32736.0
900,mex/tex-mex,CA,90230.0,300000.0
904,mex/tex-mex,CA,90094.0,90712.0
913,mex/tex-mex,CA,90045.0,107969.0
915,mex/tex-mex,CA,90293.0,71650.0
923,mex/tex-mex,CA,90292.0,94781.0
931,mex/tex-mex,CA,90245.0,86968.0
