"zip_code","count","median"
"10026",33,25997
"10039",21,33393
"22301",22,300000
"93704",12,75728
"60085",22,46446
"22180",88,300000
"20170",146,300000
"22205",34,172306
"22202",148,113550
"60155",11,59028
"11209",26,95157
"10705",2,28023
"10310",7,38803
"75023",58,300000
"22311",30,47374
"77006",7,43092
"90274",1,157006
"32217",12,16659
"77388",19,109613
"92130",1,132606
"77503",10,51664
"77498",6,300000
"75043",37,62805
"37042",7,52917
"60647",59,66598
"60047",7,157184
"75116",7,47424
"90016",48,25753
"75115",6,58616
"60187",3,41008
"60615",1,22997
"92801",21,47315
"94115",35,141923
"60103",1,300000
"90717",21,140323
"22303",58,86214
"77477",33,56852
"37208",9,27995
"60040",4,64282
"32211",3,39645
"90280",90,42954
"37115",6,28638
"77380",55,300000
"77429",19,70037
"90501",52,63008
"75041",39,37138
"60634",7,54001
"22315",62,141414
"60051",3,300000
"60074",21,300000
"75060",23,31748
"11421",2,93891
"60181",28,73947
"91201",11,70374
"90006",56,28469
"77382",12,121972
"90010",46,300000
"90805",53,52217
"11215",44,73722
"93422",4,17700
"32129",12,36907
"75146",2,52072
"91316",10,300000
"11385",64,64342
"90810",26,94556
"90503",66,300000
"94129",1,300000
"75052",41,104518
"22408",4,69869
"90621",15,52358
"10128",47,129437
"93705",7,58859
"94110",132,38568
"90713",28,75940
"77074",13,62806
"10009",49,23603
"91764",11,44939
"11378",17,49897
"75002",24,169040
"60602",12,62317
"60194",2,62292
"11212",41,37854
"32308",10,42408
"75154",1,57921
"75061",42,52672
"93619",2,300000
"10458",84,45215
"60016",33,65670
"75252",14,300000
"32118",17,28511
"91304",6,41995
"75180",12,55512
"90602",23,48157
"22310",18,300000
"22203",178,65963
"92832",2,92860
"94133",33,82929
"77079",1,300000
"94014",13,74953
"60618",55,109819
"10014",67,96567
"75075",47,26215
"60160",49,40406
"37138",1,300000
"11379",17,57353
"75056",45,300000
"60002",13,70658
"60657",62,58437
"10453",41,24947
"91205",58,39268
"11356",4,0
"60614",71,54244
"90211",1,60080
"75234",31,74707
"77489",7,47940
"20136",10,134710
"32003",18,300000
"11372",25,46396
"91501",1,76779
"91214",1,86533
"10004",27,0
"11234",25,100578
"60513",2,73287
"22151",34,300000
"75225",29,300000
"90604",30,62108
"32257",1,300000
"37043",11,48077
"92118",3,300000
"10011",43,100393
"91030",17,55405
"11367",4,60024
"10036",68,0
"90304",45,36108
"75035",19,300000
"10019",109,69242
"90745",72,57020
"37216",6,38760
"91506",17,300000
"91775",6,300000
"77057",9,59601
"49048",1,26735
"90255",59,27107
"75217",4,37875
"11236",28,73363
"93611",25,89265
"77039",1,47473
"37086",1,50233
"75216",6,21279
"77385",16,90121
"24201",18,25864
"60612",16,11398
"60640",21,62188
"11373",69,28666
"90038",63,47458
"75235",45,55033
"37075",25,101195
"77085",4,71688
"93312",33,68372
"90042",63,49009
"90027",53,64881
"90278",46,300000
"32221",4,80713
"91606",30,41169
"90720",20,43461
"94063",2,43771
"32207",16,29766
"37215",16,129747
"60610",22,97367
"75228",13,32787
"10470",4,52788
"75062",51,300000
"75219",61,126166
"60642",24,74140
"60014",26,76573
"20165",42,115029
"75220",20,39393
"94544",1,51352
"75034",62,300000
"60139",1,65160
"52601",27,300000
"77357",1,57057
"37203",77,23571
"90241",54,53192
"37206",11,300000
"11217",56,71494
"92110",14,122111
"94702",5,46329
"76226",1,300000
"91791",4,104414
"60201",13,69616
"43950",1,46690
"94102",41,21830
"90026",47,93139
"95758",1,300000
"10466",10,36703
"77099",17,30582
"60172",5,97129
"22003",68,82442
"10038",46,49704
"91406",45,39263
"90403",20,156861
"10459",30,24844
"56308",2,40667
"91732",3,57351
"32250",2,67066
"60090",32,58788
"90037",38,24958
"90303",71,80697
"37924",1,50774
"75044",18,56935
"91367",11,72104
"75040",63,63817
"10461",58,47243
"94080",17,96033
"10457",48,19175
"90033",40,300000
"91405",27,37333
"75051",19,46591
"20169",12,96442
"93725",2,32819
"77072",13,300000
"93721",7,27171
"20124",4,175447
"60089",27,102256
"32216",22,66153
"11222",30,63790
"90640",47,49628
"90017",43,58114
"20111",30,86659
"22213",8,140585
"11204",6,51028
"60622",48,65457
"32127",13,42981
"60305",7,166684
"11434",3,77485
"24202",4,51504
"94043",4,97043
"94123",44,110331
"20121",46,106122
"60302",19,98137
"20109",164,50724
"10301",11,0
"77389",16,300000
"91436",2,183484
"91755",1,27978
"90670",41,60661
"90029",55,28797
"20151",154,300000
"32095",1,97150
"32304",2,11275
"11106",58,0
"75203",6,28055
"91108",3,204164
"94607",32,39174
"75024",35,93054
"77381",35,74749
"60148",31,58725
"91601",30,40557
"90706",57,300000
"11230",13,48180
"11369",9,300000
"91504",10,63799
"32084",4,60742
"60133",1,300000
"77573",1,91692
"91345",7,300000
"91024",3,90293
"10704",23,300000
"94601",50,40160
"94619",3,144163
"22307",14,124984
"77004",1,20333
"90025",89,97041
"11201",94,105949
"60076",12,103192
"37214",23,76631
"91344",7,300000
"77479",13,67678
"60625",23,65824
"94134",7,300000
"20176",4,38960
"94132",24,67378
"60202",9,80386
"90002",21,18303
"60660",21,64803
"75098",3,84934
"94087",5,113437
"93535",6,38578
"93710",81,30873
"22306",74,58295
"11216",67,43209
"92804",12,300000
"92683",18,43211
"91101",56,43316
"91423",21,78022
"60706",9,45630
"92821",2,64980
"22066",6,214767
"77005",10,300000
"10029",116,58119
"90744",32,31470
"90068",9,98295
"10035",8,25408
"60091",9,300000
"22102",100,222333
"20164",76,300000
"93449",14,94742
"60088",8,0
"91402",31,42001
"11420",3,45629
"60056",64,131178
"60021",5,300000
"95129",3,142188
"91780",2,19836
"96734",1,105723
"32311",2,38546
"90045",118,107969
"90605",53,300000
"11102",17,81067
"75006",56,79305
"11211",87,87129
"93307",3,18277
"60007",25,48822
"90028",79,83180
"32277",2,42273
"90601",8,78658
"20155",42,105372
"37204",20,54579
"93309",52,42479
"77062",1,53561
"10037",7,59902
"90701",31,61821
"75065",8,77070
"77547",1,44231
"10803",10,212250
"93720",38,43176
"75001",20,70948
"75215",8,19549
"77084",9,300000
"90008",45,70607
"90814",16,47193
"77598",2,32372
"91950",1,13276
"91007",15,52547
"90806",66,37827
"75015",15,34086
"75070",34,101768
"77386",6,58424
"11221",16,45627
"91343",10,85144
"90404",15,94342
"60077",44,60332
"11237",52,62611
"60013",4,300000
"75230",19,108288
"90803",44,104705
"91311",21,90602
"10030",34,67666
"10308",6,300000
"90047",61,26090
"91104",23,300000
"90065",46,300000
"91208",5,300000
"93292",17,32526
"60163",3,35043
"60069",5,148103
"60605",18,15307
"10469",39,69658
