zip_code_h,count,median
93420,16,63124
93534,20,56932
91103,13,44804
91605,7,26032
91730,4,85634
60137,4,119299
90062,6,38509
91724,2,62609
11433,1,47327
94070,1,69384
10031,14,0
60088,4,0
75234,26,74707
60064,2,45288
77070,9,65430
22124,3,120625
75115,6,58616
10452,11,29544
11222,13,63790
94118,26,63551
10011,7,100393
77489,7,47940
90028,31,83180
94612,6,78171
90255,33,27107
10304,2,50258
22311,5,47374
37209,9,48481
90802,29,28386
11372,13,46396
75154,1,57921
76018,3,68712
91204,19,55120
60605,15,15307
7093,1,36258
11415,2,82191
60602,8,62317
91706,1,42556
7302,8,40321
10002,21,91469
90746,36,48895
60402,20,52331
90638,24,96936
91364,9,44205
37204,16,54579
91403,11,63169
60614,41,54244
75235,29,55033
11101,25,40506
77504,9,78790
90260,19,45831
60624,5,37367
75057,10,100153
75217,4,37875
10701,5,80933
7002,10,42240
90731,3,55848
11229,8,67319
60631,3,88435
75216,6,21279
10037,1,59902
60305,3,166684
20124,2,175447
93702,9,24284
91030,11,55405
91201,8,70374
11432,3,49395
91501,1,76779
10468,12,36911
60660,13,64803
91764,11,44939
90247,27,35604
90806,28,37827
37620,14,38962
60076,6,103192
22192,20,78914
32303,6,39098
90660,39,73063
75229,4,128666
77077,1,67793
94703,1,64599
90620,29,73636
11235,11,46412
77381,22,74749
11105,23,65991
11237,27,62611
77375,5,136637
60139,1,65160
60008,18,78572
94709,8,35427
32216,14,66153
91770,13,66462
35739,1,36690
60712,11,56994
90003,14,34678
10028,15,35461
32082,2,145715
32174,5,38699
60047,7,157184
92110,11,122111
7631,1,141594
75238,16,34726
22031,20,159997
75001,17,70948
90250,35,40862
22306,18,58295
60005,11,83407
93612,40,46353
60610,17,97367
60616,9,44154
32210,13,21983
60062,15,101106
90037,18,24958
75065,8,77070
91436,2,183484
75116,7,47424
32233,2,32107
37040,11,24986
11378,6,49897
94043,2,97043
94606,2,63541
92683,18,43211
10004,10,0
7030,1,125553
93955,1,20035
32127,10,42981
95020,1,81326
22003,16,82442
11210,17,48829
94107,19,120979
11104,13,67771
32308,10,42408
90245,37,86968
60002,13,70658
22026,1,85342
94124,12,92794
77025,3,58056
77031,3,57194
20155,21,105372
60045,1,162335
90670,20,60661
75098,3,84934
91801,20,104023
60089,18,102256
90015,9,36291
77396,4,16245
92111,2,36188
75214,20,64156
10022,16,17622
75080,43,62412
60609,3,19340
90703,36,96089
20121,15,106122
32114,22,33511
10708,1,188499
60014,26,76573
20171,14,73413
90241,26,53192
90740,16,65316
22046,12,116916
92103,7,88389
10314,20,108326
77006,7,43092
11109,1,131519
22102,21,222333
75215,5,19549
75218,14,55994
91950,1,13276
11225,11,37779
77502,12,34116
90602,15,48157
11217,23,71494
90056,4,38801
90007,20,38672
91602,7,76209
94133,18,82929
93721,7,27171
75052,35,104518
94501,21,43007
60007,23,48822
11238,18,65566
10019,20,69242
37203,34,23571
91335,20,59693
77071,8,33782
20110,35,72878
47501,1,41463
22213,1,140585
77045,12,50593
32254,6,25471
90212,15,89224
77479,13,67678
90745,36,57020
95129,3,142188
92844,3,55347
22044,14,197065
90604,13,62108
10473,7,22136
75205,20,215868
7201,14,42072
7206,3,59689
90004,7,37893
11218,15,44950
37214,12,76631
11368,16,72674
10550,6,50932
11223,5,33741
91331,4,36414
90815,33,63316
90305,5,34421
60087,3,39088
75204,17,84399
10471,5,93413
11356,2,0
75081,33,83502
11201,44,105949
60625,19,65824
11357,1,76246
10034,13,49572
91606,11,41169
90041,35,59408
60040,2,64282
60073,13,43465
77339,33,96054
11209,16,95157
10459,10,24844
77477,28,56852
60108,4,65615
77030,3,102799
90680,10,47046
60657,40,58437
75212,7,27521
10010,7,151229
11214,10,45784
77598,2,32372
75070,28,101768
37075,25,101195
60030,2,91463
60194,2,62292
95002,1,76559
11221,8,45627
90805,36,52217
60069,3,148103
60025,21,69189
10029,23,58119
11435,2,66568
77098,11,172493
11207,19,19694
60016,20,65670
91791,4,104414
77503,7,51664
22043,6,155572
32011,7,25171
60191,2,64058
91755,1,27978
10009,10,23603
75032,3,0
91754,15,60854
90712,36,99591
94103,32,17195
11417,3,58417
77041,2,63897
10301,5,0
91311,16,90602
60155,4,59028
11230,9,48180
93710,38,30873
11236,16,73363
10469,10,69658
11103,23,82248
90002,6,18303
90005,7,25809
94579,2,60725
32221,4,80713
32068,5,49944
90201,42,56738
91352,9,76038
77429,19,70037
60093,3,218355
60163,1,35043
75287,17,32230
77075,1,41986
32034,4,22789
11212,17,37854
94132,12,67378
90011,13,25700
94121,17,131522
77501,1,45319
60010,4,142459
93292,12,32526
75240,26,71788
92130,1,132606
90001,21,30036
32211,3,39645
90814,10,47193
77074,7,62806
91108,2,204164
60546,11,60063
77338,44,60475
91205,23,39268
77840,1,21529
60201,10,69616
90047,21,26090
10456,5,17622
10467,19,25840
60513,1,73287
91202,3,113952
90048,23,62610
20147,45,119556
10705,1,28023
11204,5,51028
93703,12,21914
10309,1,68801
22307,4,124984
93422,4,17700
22309,1,65387
60634,5,54001
37207,5,22611
43950,1,46690
94080,17,96033
22032,7,128472
94087,3,113437
37218,2,14210
75230,14,108288
77494,10,141709
60189,3,83140
7024,8,74430
92116,8,37570
10038,17,49704
75061,21,52672
10282,1,0
