Name,Type,Address,Zip Code
"('5ive Spice',)",vietnamese,"('227 Mulberry St',)","('10012',)"
"('Los Tacos No.1',)",tacos,"('75 9th Ave',)","('10011',)"
"(""Mamoun's Falafel - East Village Manhattan"",)",mideastern,"('30 St Marks Pl',)","('10003',)"
"('Melt Shop',)",sandwiches,"('111 Fulton St',)","('10038',)"
"(""Rosie's"",)",mexican,"('29 E 2nd St',)","('10003',)"
"(""Paul's Da Burger Joint"",)",burgers,"('131 2nd Ave',)","('10003',)"
"(""Katz's Delicatessen"",)",delis,"('205 E Houston St',)","('10002',)"
"('Eat Gai',)",thai,"('88 Essex St',)","('10002',)"
"('Cheese Grille',)",tradamerican,"('188 Allen St',)","('10002',)"
"('Saigon Vietnamese Sandwich Deli',)",sandwiches,"('369 Broome St',)","('10013',)"
"(""Kiki's"",)",greek,"('130 Division St',)","('10002',)"
"('La Churreria',)",sandwiches,"('284 Mulberry St',)","('10012',)"
"('Black Burger',)",burgers,"('386 Canal St',)","('10013',)"
"('FRY ALL',)",hotdogs,"('69A Bayard St',)","('10013',)"
"('Rowdy Rooster',)",indpak,"('149 1st Ave',)","('10003',)"
"('Fatty Daddy Taco',)",mexican,"('152 Smith St',)","('11201',)"
"('La Bagel Delight at Dumbo',)",bagels,"('104 Front St',)","('11201',)"
"('Cocu',)",chickenshop,"('26 Carmine St',)","('10014',)"
"('Popeyes Louisiana Kitchen',)",hotdogs,"('125 Canal St',)","('10002',)"
"('Summer Salt',)",tacos,"('30 East 23rd St',)","('10010',)"
"(""Sticky's Finger Joint"",)",hotdogs,"('107 E 14th St',)","('10003',)"
"('Corndogs By Mr.Cow',)",hotdogs,"('124c Hester St',)","('10002',)"
"('Cheeky Sandwiches',)",sandwiches,"('35 Orchard St',)","('10002',)"
"('Shake Shack',)",burgers,"('20 3rd Ave',)","('10003',)"
"('Pommes Frites',)",belgian,"('128 Macdougal St',)","('10012',)"
"(""375 Chicken 'n Fries"",)",hotdogs,"('124 Ludlow St',)","('10002',)"
"('Banh Mi Zon',)",vietnamese,"('443 East 6th St',)","('10009',)"
"('Xe May Sandwich Shop',)",sandwiches,"('96 Saint Marks Pl',)","('10009',)"
"(""Sticky's Finger Joint"",)",hotdogs,"('484 3rd Ave',)","('10016',)"
"('Flip Sigi',)",filipino,"('131 7th Ave S',)","('10014',)"
"(""Paul's Da Burger Joint"",)",burgers,"('131 2nd Ave',)","('10003',)"
"(""Mamoun's Falafel - East Village Manhattan"",)",mideastern,"('30 St Marks Pl',)","('10003',)"
"('Blue Ribbon Fried Chicken - East Village',)",chicken_wings,"('28 East First St',)","('10003',)"
"('Taco Mahal',)",indpak,"('73 7th Ave S',)","('10014',)"
"('Chick-fil-A',)",hotdogs,"('1000 Avenue Of The Americas',)","('10018',)"
"('Los Tacos No.1',)",tacos,"('75 9th Ave',)","('10011',)"
"('Halal-N-out',)",halal,"('197 Havemeyer St',)","('11211',)"
"('Summer Salt',)",tacos,"('30 East 23rd St',)","('10010',)"
"('Ambo',)",indpak,"('55C E 8th St',)","('10003',)"
"('Two Hands Seoul Fresh Corn Dogs',)",hotdogs,"('147 Ave A',)","('10009',)"
"('Banh Mi Saigon',)",vietnamese,"('198 Grand St',)","('10013',)"
"(""Sticky's Finger Joint"",)",chickenshop,"('21 Maiden Ln',)","('10038',)"
"('Evil Katsu',)",japanese,"('435 East 9th',)","('10009',)"
"('Empanada Mama L.E.S',)",latin,"('95 Allen St',)","('10002',)"
"('Los Tacos No. 1',)",tacos,"('136 Church St',)","('10007',)"
"('Saigon Shack',)",vietnamese,"('114 Macdougal St',)","('10012',)"
"('Two Hands Seoul Fresh Corn Dogs',)",hotdog,"('250 Mott St',)","('10012',)"
"('Hip City Veg',)",burgers,"('28 E 12th St',)","('10003',)"
"('Souvlaki GR',)",greek,"('116 Stanton St',)","('10002',)"
"('Dos Toros Taqueria',)",mexican,"('137 4th Ave',)","('10003',)"
"('Wolfnights - The Gourmet Wrap',)",newamerican,"('99 Rivington St',)","('10002',)"
"('PLNT Burger',)",burgers,"('139 4th Ave',)","('10003',)"
"('Bite',)",sandwiches,"('211 E 14th St',)","('10003',)"
"('5ive Spice',)",vietnamese,"('227 Mulberry St',)","('10012',)"
"(""Sam's Crispy Chicken - Brookfield"",)",chickenshop,"('225 Liberty St',)","('10281',)"
"('Breakroom',)",burgers,"('83 Baxter St',)","('10013',)"
"('Brine',)",chickenshop,"('106 8th Ave',)","('10011',)"
"('Rowdy Rooster',)",indpak,"('149 1st Ave',)","('10003',)"
"(""Rosie's"",)",mexican,"('29 E 2nd St',)","('10003',)"
"('taïm mediterranean kitchen - West Village',)",falafel,"('222 Waverly Pl',)","('10014',)"
"(""Fedoroff's Roast Pork"",)",sandwiches,"('178 N 10th St',)","('11211',)"
"('Jollibee',)",hotdogs,"('609 8th Ave',)","('10018',)"
"('Cocu',)",chickenshop,"('26 Carmine St',)","('10014',)"
"(""Murray's Mac & Cheese"",)",sandwiches,"('250 Bleecker St',)","('10014',)"
"('Shake Shack - New York',)",hotdogs,"('225 Varick St',)","('10014',)"
"('Essex Taqueria',)",mexican,"('123 Essex St',)","('10002',)"
"('La Churreria',)",sandwiches,"('284 Mulberry St',)","('10012',)"
"('Pokeworks',)",hawaiian,"('21 E 15th St',)","('10003',)"
"('Saigon Vietnamese Sandwich Deli',)",sandwiches,"('369 Broome St',)","('10013',)"
"(""Katz's Delicatessen"",)",delis,"('205 E Houston St',)","('10002',)"
"('Corndogs By Mr.Cow',)",hotdogs,"('124c Hester St',)","('10002',)"
"('Oh K-Dog',)",korean,"('159 Ludlow St',)","('10002',)"
"(""Luke's Lobster FiDi"",)",seafood,"('26 S William St',)","('10004',)"
"('77 Burger',)",burgers,"('77 Pearl St',)","('10004',)"
"('Melt Shop',)",sandwiches,"('111 Fulton St',)","('10038',)"
"(""375 Chicken 'n Fries"",)",hotdogs,"('124 Ludlow St',)","('10002',)"
"('Pommes Frites',)",belgian,"('128 Macdougal St',)","('10012',)"
"(""Shorty's"",)",sandwiches,"('62 Pearl St',)","('10004',)"
"('Banh Mi Saigon',)",vietnamese,"('198 Grand St',)","('10013',)"
"('Chick-fil-A',)",chickenshop,"('144 Fulton St',)","('10038',)"
"('DokoDemo',)",teppanyaki,"('89 E 4th St',)","('10003',)"
"(""McDonald's"",)",hotdogs,"('160 Broadway',)","('10038',)"
"('Tacoria',)",tacos,"('24-26 Erie st',)","('07302',)"
"('Nish Nush',)",vegetarian,"('88 Reade St',)","('10013',)"
"('Tribos Peri Peri',)",portuguese,"('109 Christopher Columbus Dr',)","('07302',)"
"('Black Burger',)",burgers,"('386 Canal St',)","('10013',)"
"('Empanada Mama L.E.S',)",latin,"('95 Allen St',)","('10002',)"
"('Casa Taqueria',)",mexican,"('40 Gold St',)","('10038',)"
"('Vietspot',)",vietnamese,"('99 Nassau St',)","('10038',)"
"('Shake Shack',)",hotdogs,"('200 Broadway',)","('10038',)"
"('Holy Cow',)",burgers,"('34 Canal St',)","('10002',)"
"('Two Hands Seoul Fresh Corn Dogs',)",hotdog,"('250 Mott St',)","('10012',)"
