Name,Type,Address,Zip Code
"('Popeyes Louisiana Kitchen',)",chicken_wings,"('8362 Centreville Rd',)","('20111',)"
"('Cafe Rio Mexican Grill',)",mexican,"('7803 Sudley Rd',)","('20109',)"
"('Five Guys',)",burgers,"('8366 Sudley Rd',)","('20109',)"
"('Pollo Campero - Manassas',)",hotdogs,"('7913 Sudley Rd',)","('20109',)"
"('Popeyes Louisiana Kitchen',)",hotdogs,"('8416 Sudley Rd',)","('20109',)"
"('A Deli Italian Food',)",delis,"('10384 Portsmouth Rd',)","('20109',)"
"(""McDonald's"",)",hotdogs,"('9900 Pennsylvania Ave',)","('20110',)"
"(""Wendy's"",)",burgers,"('8989 Centreville Rd.',)","('20110',)"
"('Chipotle Mexican Grill',)",mexican,"('9511 Liberia Ave',)","('20110',)"
"('Taco Bell',)",mexican,"('11017 Nokesville Road',)","('20110',)"
"('El Mirador Restaurant',)",salvadoran,"('7839 Sudley Rd',)","('20109',)"
"('Panera Bread',)",sandwiches,"('8085 Sudley Road',)","('20109',)"
"('Burger King',)",hotdogs,"('8889 Centerville Rd',)","('20110',)"
"('Raices Peruvian Cuisine',)",peruvian,"('8643 Sudley Rd',)","('20110',)"
"('Taco Bell',)",hotdogs,"('10036 Dumfries Rd',)","('20110',)"
"(""Auntie Anne's"",)",pretzels,"('8300 Sudley Rd',)","('20109',)"
"('Pizza Time',)",pizza,"('9091 Mathis Ave',)","('20110',)"
"('KFC',)",hotdogs,"('7789 Sudley Rd',)","('20109',)"
"('Dairy Queen Grill & Chill',)",icecream,"('11702 Sudley Manor Dr',)","('20109',)"
"('Chick-fil-A',)",hotdogs,"('9506 Liberia Ave',)","('20110',)"
"(""Wendy's"",)",hotdogs,"('9680 Liberia Avenue',)","('20110',)"
"('QDOBA Mexican Eats',)",mexican,"('9674 Liberia Ave',)","('20110',)"
"('Firehouse Subs',)",sandwiches,"('9660 Liberia Ave',)","('20110',)"
"('Taco Bell',)",hotdogs,"('8891 Centreville Road',)","('20110',)"
"('Panda Express',)",chinese,"('9685 Liberia Ave.',)","('20110',)"
"(""Arby's"",)",hotdogs,"('9874 Liberia Ave',)","('20110',)"
"('Chipotle Mexican Grill',)",mexican,"('9511 Liberia Ave',)","('20110',)"
"('Noodles & Company',)",noodles,"('9646 Liberia Ave',)","('20110',)"
"(""Nathan's Dairy Bar"",)",icecream,"('8948 Mathis Ave',)","('20110',)"
"('Popeyes Louisiana Kitchen',)",chicken_wings,"('8362 Centreville Rd',)","('20111',)"
"(""Foster's Grille"",)",tradamerican,"('9417 W St',)","('20110',)"
"('Burger King',)",hotdogs,"('10034 Dumfries Rd',)","('20110',)"
"('Burger King',)",hotdogs,"('8889 Centerville Rd',)","('20110',)"
"('Pizza Hut',)",pizza,"('10060 Dumfries Rd',)","('20110',)"
