Name,Type,Address,Zip Code
"(""Dave's Hot Chicken"",)",chickenshop,"('14750 Preston Rd',)","('75254',)"
"('Burger Street',)",burgers,"('2620 Midway Rd',)","('75006',)"
"(""Raising Cane's Chicken Fingers"",)",chicken_wings,"('4100 Belt Line Rd',)","('75001',)"
"('Super Chix',)",chickenshop,"('14999 Preston Rd',)","('75254',)"
"('Louisiana Famous Fried Chicken',)",hotdogs,"('17610 Midway Rd',)","('75287',)"
"('Chick-fil-A',)",hotdogs,"('3781 Belt Line Rd',)","('75001',)"
"('Taco Casa',)",mexican,"('2669 Midway Rd',)","('75006',)"
"('Salad and Go',)",salad,"('3330 E. Trinity Mills',)","('75006',)"
"('El Rumbero Taqueria',)",mexican,"('2155 Marsh Ln',)","('75006',)"
"('Potbelly Sandwich Shop',)",sandwiches,"('4945 Beltline Rd',)","('75254',)"
"(""J's Breakfast & Burgers"",)",diners,"('14925 Midway Rd',)","('75001',)"
"('Taqueria La Ventana',)",mexican,"('4180 Beltline Rd',)","('75001',)"
"('Grabbagreen',)",juicebars,"('5000 Belt Line Rd',)","('75254',)"
"(""Zio Al's Pizza & Pasta"",)",chicken_wings,"('15340 Dallas Pkwy',)","('75248',)"
"(""Fuzzy's Taco Shop"",)",mexican,"('13881 Midway Rd',)","('75244',)"
"('Burger Island',)",hotdogs,"('14999 Preston Rd',)","('75254',)"
"('Taste Of Chicago',)",pizza,"('14833 Midway Rd',)","('75001',)"
"('Whataburger',)",burgers,"('15255 Montfort Dr',)","('75248',)"
"('Wing Dash',)",tradamerican,"('3660 Belt Line Rd',)","('75234',)"
"('Taco Bell',)",hotdogs,"('15208 Montfort Dr',)","('75254',)"
"('Burger House',)",burgers,"('14248 Marsh Ln',)","('75001',)"
"('Golden Chick',)",hotdogs,"('14430 Marsh Ln',)","('75234',)"
"('Freebirds World Burrito',)",mexican,"('5000 Belt Line Rd',)","('75254',)"
"('Taco Cabana',)",mexican,"('15239 Montfort Rd',)","('75248',)"
"('Taco Bueno',)",mexican,"('15000 Marsh Ln',)","('75001',)"
"(""Raising Cane's Chicken Fingers"",)",chicken_wings,"('13350 Dallas Pkwy',)","('75240',)"
"('Wei Tasty Asian',)",hotdogs,"('2608 Midway Rd',)","('75006',)"
"('Velvet Taco',)",newamerican,"('15104 Dallas Pkwy',)","('75248',)"
"(""McDonald's"",)",hotdogs,"('3795 Beltline Rd',)","('75244',)"
"('Wingstop',)",chicken_wings,"('3355 Trinity Mills Rd',)","('75287',)"
"('Taco Bueno',)",mexican,"('2612 Midway Rd',)","('75006',)"
"('CAVA',)",mediterranean,"('5100 Belt Line Rd',)","('75254',)"
"(""Arby's"",)",hotdogs,"('5240 Spring Valley Rd',)","('75254',)"
"('Jack in the Box',)",hotdogs,"('3206 Belt Line Rd',)","('75234',)"
"('The Great Outdoors Sub Shop',)",sandwiches,"('4043 Trinity Mills Rd',)","('75287',)"
"('Wingstop',)",chicken_wings,"('15212 Montfort Rd',)","('75248',)"
"('Waffle House',)",breakfast_brunch,"('14951 Marsh Ln',)","('75234',)"
"('Lazy Dog Restaurant & Bar',)",newamerican,"('5100 Belt Line Rd',)","('75254',)"
"('Salata',)",salad,"('110 Beltline',)","('75254',)"
"(""Jersey Mike's Subs"",)",sandwiches,"('14060 Dallas Pkwy',)","('75240',)"
"('Liberty Burger - Keller Springs',)",burgers,"('5181 Keller Springs Rd',)","('75248',)"
"(""Fuzzy's Taco Shop"",)",breakfast_brunch,"('2661 Midway Rd',)","('75006',)"
"('Panda Express',)",hotdogs,"('15204 Montfort Dr',)","('75248',)"
"('In-N-Out Burger',)",burgers,"('12909 Midway Rd',)","('75244',)"
"('Taco Bell',)",hotdogs,"('4616 Frankford Road',)","('75287',)"
"(""Jimmy John's"",)",sandwiches,"('4980 Belt Line Rd',)","('75254',)"
"('Chicken & Rice',)",chinese,"('13260 Josey Ln',)","('75234',)"
"('Little Greek Fresh Grill',)",greek,"('5290 Beltline Rd',)","('75254',)"
"('Chick-fil-A',)",hotdogs,"('15235 Montfort Rd',)","('75248',)"
"(""Torchy's Tacos"",)",tex-mex,"('14760 Preston Rd',)","('75254',)"
"('Chipotle Mexican Grill',)",hotdogs,"('2650 W Lucas Rd',)","('75002',)"
"('El Pollo Loco',)",hotdogs,"('386 E Stacy Rd',)","('75002',)"
"(""Wendy's"",)",burgers,"('2670 West Lucas Rd',)","('75002',)"
"(""Jersey Mike's Subs"",)",hotdogs,"('2650 W Lucas Rd',)","('75002',)"
"('Taco Bell',)",mexican,"('1809 E. Bethany Dr.',)","('75002',)"
"('Subway',)",sandwiches,"('2662 W Lucas Rd',)","('75002',)"
"('Whataburger',)",hotdogs,"('388 E Stacy Rd',)","('75002',)"
"('El Volcan Comda Mexicana',)",mexican,"('1106 E Bethany Dr',)","('75002',)"
"('Sonic Drive-In',)",hotdogs,"('1805 East Bethany Rd',)","('75002',)"
"(""Jhonny's Mexican Restaurant"",)",tex-mex,"('3999 Parker Rd',)","('75098',)"
"('Chick-fil-A',)",hotdogs,"('350 E Stacy Rd',)","('75002',)"
"('Coconut Hill',)",indpak,"('1201 E Main St',)","('75002',)"
"('Taco Bueno',)",mexican,"('1709 N Greenville Ave',)","('75002',)"
"('Jack in the Box',)",hotdogs,"('394 E Stacy Rd',)","('75002',)"
"(""McDonald's"",)",hotdogs,"('815 S Allen Heights Dr',)","('75002',)"
"('Sonic Drive-In',)",hotdogs,"('3838 W Parker Rd',)","('75098',)"
"('Sonic Drive-In',)",hotdogs,"('1536 E Stacy Rd',)","('75002',)"
"(""Braum's Ice Cream & Dairy Stores"",)",icecream,"('805 E Main St',)","('75002',)"
"('Zoës Kitchen',)",greek,"('102 Prairie Rd',)","('75069',)"
"('Taco Bell',)",hotdogs,"('380 E Stacy Rd',)","('75002',)"
"(""McDonald's"",)",hotdogs,"('370 E Stacy Rd',)","('75002',)"
"('Pizza Hut',)",pizza,"('1546 E Stacy Rd',)","('75002',)"
"('Panda Express',)",chinese,"('340 E Stacy Rd',)","('75002',)"
"('Subway',)",sandwiches,"('1546 E Stacy Rd',)","('75002',)"
"('Twisted Root Burger',)",burgers,"('1111 S Main St',)","('75006',)"
"('Whataburger',)",burgers,"('2108 E Belt Line Rd',)","('75006',)"
"('Taco Bell',)",mexican,"('1907 E. Beltline Rd.',)","('75006',)"
"('Pollo Regio',)",mexican,"('1924 E Beltline Rd',)","('75006',)"
"('Chicken & Rice',)",chinese,"('13260 Josey Ln',)","('75234',)"
"('Burger King',)",hotdogs,"('1201 S Josey Ln',)","('75006',)"
"('Jack in the Box',)",hotdogs,"('3206 Belt Line Rd',)","('75234',)"
"('Pollo Salsa',)",mexican,"('1853 Keller Springs Rd',)","('75006',)"
"('Sonic Drive-In',)",hotdogs,"('14320 Josey Ln',)","('75234',)"
"(""Braum's Ice Cream & Dairy Stores"",)",burgers,"('2134 N Josey Ln',)","('75006',)"
"('Dairy Queen',)",hotdogs,"('2421 Valwood Pkwy',)","('75234',)"
"('Whataburger',)",hotdogs,"('3105 Forest Ln',)","('75234',)"
"('Wingstop',)",chicken_wings,"('1912 E Belt Line Rd',)","('75006',)"
"('Panda Express',)",hotdogs,"('13110 Josey Lane',)","('75234',)"
"('LA Burger',)",burgers,"('1017 E Trinity Mills Rd',)","('75007',)"
"('Chick-fil-A',)",hotdogs,"('2652 Old Denton Rd',)","('75007',)"
"('Burger Island',)",burgers,"('1208 E Belt Line Rd',)","('75006',)"
"('Chick-fil-A',)",hotdogs,"('3781 Belt Line Rd',)","('75001',)"
"('Golden Chick',)",hotdogs,"('14430 Marsh Ln',)","('75234',)"
"('Taco Bueno',)",mexican,"('2363 Valwood Pkwy',)","('75234',)"
"('The Right Recipe Soul Food and Grill',)",soulfood,"('1720 N Josey Ln',)","('75006',)"
"('bb.q Chicken - Carrollton',)",chicken_wings,"('2625 Old Denton Rd',)","('75007',)"
"('Burger House',)",burgers,"('14248 Marsh Ln',)","('75001',)"
"('Burger Express',)",burgers,"('1630 Valwood Pkwy',)","('75006',)"
"('Salad and Go',)",salad,"('13005 Josey Ln',)","('75234',)"
"('TX BBQ & Burgers',)",bbq,"('3128 Forest Ln',)","('75234',)"
"('Pollo Campero',)",latin,"('12885 Josey Ln',)","('75234',)"
"(""McDonald's"",)",hotdogs,"('2899 Valley View Ln',)","('75234',)"
"('El Rumbero Taqueria',)",mexican,"('2155 Marsh Ln',)","('75006',)"
"('Wing Dash',)",tradamerican,"('3660 Belt Line Rd',)","('75234',)"
"('El Tizoncito',)",mexican,"('3318 Forest Ln',)","('75234',)"
"('Chipotle Mexican Grill',)",hotdogs,"('2427 Valley View Ln',)","('75234',)"
"('Popeyes Louisiana Kitchen',)",hotdogs,"('2620 Old Denton Rd',)","('75007',)"
"('CM Chicken Carrollton',)",chickenshop,"('2680 Old Denton Rd',)","('75007',)"
"('Taco Cabana',)",mexican,"('11824 Webb Chapel Rd',)","('75234',)"
"(""Buz's Spuds"",)",hotdogs,"('1630 Valwood Pkwy',)","('75006',)"
"(""Wendy's"",)",hotdogs,"('2003 Beltline Road',)","('75006',)"
"('Jack in the Box',)",hotdogs,"('14050 N Stemmons Fwy',)","('75234',)"
"('Whataburger',)",hotdogs,"('1033 E Trinity Mills Rd',)","('75006',)"
"(""Church's Chicken"",)",hotdogs,"('2020 E Beltline Rd',)","('75006',)"
"('Panda Express',)",chinese,"('2604 Old Denton Road',)","('75007',)"
"('Wingstop',)",chicken_wings,"('3355 Trinity Mills Rd',)","('75287',)"
"('Popeyes Louisiana Kitchen',)",chicken_wings,"('3561 Forest Ln',)","('75234',)"
"(""McDonald's"",)",burgers,"('1943 I 35 N',)","('75006',)"
"('Boston Market',)",tradamerican,"('3797 Forest Ln',)","('75244',)"
"(""Jimmy John's"",)",sandwiches,"('3100 Forest Ln',)","('75234',)"
"(""Wendy's"",)",hotdogs,"('1005 W Trinity Mills',)","('75006',)"
"('Taco Bueno',)",mexican,"('15000 Marsh Ln',)","('75001',)"
"('El Paisa Cocina Mexicana',)",mexican,"('2008 N Interstate 35E',)","('75006',)"
"('Waffle House',)",breakfast_brunch,"('14951 Marsh Ln',)","('75234',)"
"(""Wendy's"",)",burgers,"('1908 E Hebron Pkwy',)","('75007',)"
"('Popeyes Louisiana Kitchen',)",hotdogs,"('2620 Old Denton Rd',)","('75007',)"
"(""3J'S Chicken Divine"",)",halal,"('1111 W Frankford Rd',)","('75007',)"
"('Chick-fil-A',)",hotdogs,"('2652 Old Denton Rd',)","('75007',)"
"('LA Burger',)",burgers,"('1017 E Trinity Mills Rd',)","('75007',)"
"('Taco Bell',)",mexican,"('1008 E. Frankford Rd.',)","('75007',)"
"('WNB Factory',)",chicken_wings,"('1016 E Hebron Pkwy',)","('75010',)"
"('CM Chicken Carrollton',)",chickenshop,"('2680 Old Denton Rd',)","('75007',)"
"('Golden Chick',)",hotdogs,"('3044 N Josey Ln',)","('75007',)"
"('Banh Mi Dalat',)",vietnamese,"('3733 N Josey Ln',)","('75007',)"
"(""Arby's"",)",hotdogs,"('1909 E Hebron Pkwy',)","('75007',)"
